"name"," Найменування"," Статус"," Введено знову"," Раніше опублікований у"," Альтернативні найменування"," Ключові слова"," Застосовність"," Коментарі щодо застосування"," Клас форми"," Клас функцій"," Клас застосування"," Примітки"," Форма"," Альтернативні форми"," Складові частини"," Замінює"," Застарілий з"," Замінений на"," Обмеження символу"," img"
" S00023","відгалуження"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-09"," вузол"," розгалуження, з'єднання, вузли"," S01351"," А00003"," символи, кола, точки, лінії"," W спрямоване переміщення або транспортування, X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми"," з'єднання, характерне для групи ідентичних паралельних ланцюгів, що повторюються",,,,,,,," symb/image-20241221114126096.png"
" S00024"," зміна"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-11"," зміна провідників, зміна порядку чергування фаз, інверсія полярності"," з'єднання, зміна, інверсія"," S00025, S01413, S00514"," А00004, А00262"," символи, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,," S00003",,,,," symb/image-20241221114136277.png"
" S00025"," зміна порядку чергування фаз"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-12",," зміна",," А00004"," символи, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,," S00002;",,,,," symb/image-20241221114146007.png"
" S00026"," нейтральна точка"," стандарт"," 01.07.2001","МЕК 60617-3 (ред. 2.0) 03-02-13",," з'єднання, вузли, нейтральні точки"," S00027, S00028"," А00003, А00262"," символи, лінії"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, загальні схеми"," точка, в якій з'єднуються розщеплені дроти та утворюють нейтральну точку багатофазної системи",,,,,,,," symb/image-20241221114155280.png"
" S00027"," нейтральна точка генератора (однолінійне уявлення)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-14",," з'єднання, генератори, вузли, нейтральні точки, генератори потужності",,," лінії"," X підключення"," принципові схеми, функціональні схеми, загальні схеми","синхронний генератор, три фази, обидва кінці кожної фази обмотки генератора виведені (показано із зовнішньою нейтральною точкою)",,," S00003; S00026; S00797; S00819",,,,," symb/image-20241221114204284.png"
" S00028"," нейтральна точка генератора (багатолінійне уявлення)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-15",," з'єднання, генератори, вузли, нейтральні точки, генератори потужності",,," лінії"," X підключення","принципові схеми"," багатолінійне уявлення позначення S00027",,," S00026; S00797; S00819",,,,," symb/image-20241221114213284.png"
" S00029"," з'єднання без переривання провідника"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-16",," відгалуження, з'єднувальні пристрої, з'єднання, вузли",," А00005"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," відображається разом із позначенням S00019",,," S00019",,,,," symb/image-20241221114226368.png"
" S00030","з'єднання, що вимагає спеціального інструменту"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-02-17",," відгалуження, з'єднувальні пристрої, з'єднання, вузли",,," фігури, лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," відображається разом із позначенням S00019",,," S00019",,,,," symb/image-20241221114234830.png"
" S00031"," гніздовий контакт (розетки або вилки)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-01"," штепсельна розетка"," з'єднувальні пристрої, штепсельні розетки"," S00033, S00038, S00047, S00049, S00048, S00457, S01329"," А00006"," півкола"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,,," S01352",,,," symb/image-20241221114330218.png"
" S00032"," штирьовий контакт (розетки або вилки)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-03"," штепсельна вилка"," з'єднувальні пристрої, штепсельні вилки"," S00033, S00039, S00038, S00043, S00047, S00049, S00048, S01329"," А00007"," прямокутники"," X підключення","принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні",,,,," S01353",,,," symb/image-20241221114339839.png"
" S00033"," штепсельне з'єднання"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-05",," штепсельні вилки, розетки"," S00034, S00035, S00042, S01329"," А00210"," півкола, прямокутники"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,," S00031;"," S01354",,,," symb/image-20241221114350312.png"
" S00034"," штепсельне з'єднання, багатоканальне (багатолінійне уявлення)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-07",," штепсельні вилки, розетки",,," півкола, прямокутники"," X підключення","принципові схеми"," символ «штепсельне з'єднання, багатоканальне» відображено з 6 гніздовими і 6 штиревими контактами в багатолінійному поданні.",," S00035","S00033; S00144",,,,," symb/image-20241221114359399.png"
" S00035"," штепсельне з'єднання, багатоканальне (однолінійне уявлення)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-08",," штепсельні вилки, розетки",,," півкола, прямокутники"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми"," символ «штепсельне з'єднання, багатоканальне» в однолінійній виставі, 6 гніздових та 6 штирьових контактів",,," S00033",,,,," symb/image-20241221114413308.png"
" S00036"," з'єднання, нерухома частина"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-09",," з'єднувальні пристрої, з'єднувачі"," S00038"," А00008"," прямокутники"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,,,,,,," symb/image-20241221114423743.png"
" S00037"," з'єднання, рухома частина"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-10",," з'єднувальні пристрої, з'єднувачі"," S00038"," А00008"," прямокутники"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,,,,,,," symb/image-20241221114432173.png"
" S00038"," сполучний вузол"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-11",," з'єднувальні пристрої, з'єднувачі",," А00008"," півкола, прямокутники"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми","цей символ показано з нерухомою вилкою та рухомою розеткою",,," S00031; S00032; S00036; S00037",,,,," symb/image-20241221114441488.png"
" S00039"," телефонний штекер та гніздо"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-12",," сполучні пристрої, штепсельні вилки, гнізда"," S00040"," А00009"," кола, фігури, лінії, прямокутники"," X підключення","принципові схеми"," символ показано з двома полюсами",,," S00017; S00032",,,,," symb/image-20241221114450383.png"
" S00040"," телефонний штекер та гніздо з розмикаючими контактами"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-13",," з'єднувальні пристрої, гнізда, штекери",," А00009"," кола, фігури, лінії, прямокутники"," X підключення","принципові схеми"," символ відображається з трьома полюсами",,," S00039; S00233",,,,," symb/image-20241221114459374.png"
"S00041"," телефонне гніздо з контактом, що розмикається, телефонне ізолююче гніздо"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-14",," з'єднувальні пристрої",,," кола, фігури, лінії"," X підключення","принципові схеми",,,,,,,,," symb/image-20241221114507661.png"
" S00042"," штепсельне з'єднання, коаксіальне"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-15",," з'єднувальні пристрої, з'єднувачі, штекери, роз'єми",," А00010"," кола, півкола, лінії, прямокутники"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,," S00011; S00033",,,,," symb/image-20241221114516579.png"
" S00043"," стиковий з'єднувач"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-16",," з'єднувальні пристрої, з'єднувачі",,," прямокутники"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,," S00032",,,,," symb/image-20241221114525662.png"
" S00044"," сполучна ланка, замкнута"," стандарт"," 01.07.2001","МЕК 60617-3 (ред. 2.0) 03-03-17"," випробувальний затискач, «штир-штир»"," з'єднувальні пристрої, контрольні точки",,," кола, фігури"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми",," форма 1"," S00045"," S00017",,,,," symb/image-20241221114535366.png"
" S00045"," сполучна ланка, замкнута"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-18",," з'єднувальні пристрої",,," лінії"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми",," форма 2"," S00044",,,,,," symb/image-20241221114543448.png"
" S00046"," сполучна ланка, відкрита"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-19",," з'єднувальні пристрої",,," кола, фігури"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,," S00017",,,,," symb/image-20241221114552143.png"
" S00047"," штепсельне з'єднання, штир/штир"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-20"," дугоподібна перемичка"," з'єднувальні пристрої, з'єднувачі, штекери, роз'єми",,," півкола, прямокутники"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,," S00031;",,,,," symb/image-20241221114604260.png"
" S00048"," штепсельне з'єднання, штир-роз'єм"," стандарт"," 01.07.2001","МЕК 60617-3 (ред. 2.0) 03-03-21"," дугоподібна перемичка"," з'єднувальні пристрої, з'єднувачі, штекери, роз'єми",,," півкола, прямокутники"," X підключення","принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні",,,," S00031;",,,,," symb/image-20241221114612289.png"
" S00049"," штепсельне з'єднання, штир-штир, з розеточним входом"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-03-22"," дугоподібна перемичка"," з'єднувальні пристрої, з'єднувачі, штекери, роз'єми",,," півкола, прямокутники"," X підключення"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, загальні схеми",,,," S00031;",,,,," symb/image-20241221114621027.png"
" S00050"," кінцева кабельна муфта (багатожильний кабель)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-04-01",," кабельна арматура, закладення"," S01397",," рівносторонні трикутники, лінії"," X підключення"," схеми з'єднань, монтажні схеми"," показаний один трижильний кабель",,," S00001; S00058",,,,," symb/image-20241221114628779.png"
" S00051"," кінцевий закладення кабелю (одножильний кабель)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-04-02",," кабельна арматура, закладення"," S01895",," лінії, трапеції"," X підключення","схеми з'єднань, монтажні схеми, карти мереж"," показано три одножильні кабелі",,," S00001",,,,," symb/image-20241221114637468.png"
" S00052"," прохідна кабельна муфта (багатолінійна вистава)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-04-03",," кабельна арматура"," S00054",," шестикутники, лінії"," X підключення","схеми з'єднань, монтажні схеми, карти мереж"," показано три провідники у багатолінійному поданні",," S00053"," S00001",,,,," symb/image-20241221114645278.png"
" S00053"," прохідна кабельна муфта (однолінійна вистава)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-04-04",," кабельна арматура"," S00055",," символи, лінії, паралелограми"," X підключення","схеми з'єднань, монтажні схеми, карти мереж"," показано три провідники в однолінійному поданні",," S00052"," S00003",,,,," symb/image-20241221114653018.png"
" S00054","сполучна коробка (багатолінійна вистава)"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-04-05",," кабельна арматура",,," лінії, восьмикутники"," X підключення","схеми з'єднань, монтажні схеми, карти мереж"," показано три провідники з Т-подібними сполуками в багатолінійному поданні",," S00055"," S00001; S00019; S00052",,,,," symb/image-20241221114701484.png"
" S00055"," сполучна коробка (однолінійне"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-04-06",," кабельна арматура",,," символи, лінії, паралелограми"," X підключення","схеми з'єднань, монтажні схеми, карти мереж"," показано три провідники з Т-подібними сполуками в однолінійному поданні",," S00054"," S00003; S00019; S00053",,,,," symb/image-20241221114710164.png"
" S00056"," герметичний вступний сальник"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-04-07",," кабельна арматура"," S00513"," А00012"," лінії, трапеції"," X підключення","схеми з'єднань, монтажні схеми, карти мереж"," показано три кабелі",,,,,,,," symb/image-20241221114720675.png"
"S00057"," тріодний тиристор, тип не визначений"," стандарт"," 01.07.2001"," МЕК 60617-5 (ред. 2.0) 05-04-04",," напівпровідники, тиристори",," А00184"," рівносторонні трикутники, лінії"," Q кероване перемикання або регулювання","принципові схеми"," символ використовується для несиметричного тиристора, якщо не потрібно вказувати тип керуючого електрода",,," S00613;",,,,," symb/image-20241221114729368.png"
" S00058"," група з'єднань"," стандарт"," 01.07.2001"," МЕК 60617-3 (ред. 2.0) 03-01-01",," з'єднання"," S00003, S00050, S00002, S01414",," лінії"," W спрямоване переміщення або транспортування"," принципові схеми, схеми з'єднань, функціональні схеми, монтажні схеми, карти мереж, загальні схеми"," див.також Символ S00001",,,,,,,," symb/image-20241221114738071.png"
" S00059"," об'єкт"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-01-01"," обладнання, пристрій, функціональна одиниця, елемент, функція"," форми, контури","S00385, S00386, S00393, S00391, S00392, S00394, S00396, S00397, S00398, S00395, S00399, S00401, S00402, S00400 S00443, S00442, S01421, S01465, S01463, S01464, S01655, S01031, S01176, S00515, S01078, S01136, S00900, S01035 S01076, S01181, S01175, S00896, S00781, S00894, S00519, S00608, S01184, S01037, S00533, S00993, S00492, S00893 S01167, S00899, S00549, S01036, S01244, S01075, S01125, S01225, S01079, S01029, S00552, S00494, S01174, S01177 S01033, S00548, S01034, S00783, S01896, S01904, S01910"," А00013"," квадрати"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",," форма 1"," S00060; S00061",,,,,," symb/image-20241221114747786.png"
" S00060"," об'єкт"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-01-02"," обладнання, пристрій, функціональна одиниця, елемент, функція"," форми, контури"," S00388, S00387, S00455, S00456, S01420, S01419, S00516, S00479, S01328, S00609, S00495, S01327, S00498 S00480, S01887, S01888, S01893"," А00013"," прямокутники"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",," Форма 2"," S00059; S00061",,,,,," symb/image-20241221114756037.png"
" S00061"," об'єкт"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-01-03"," обладнання, пристрій, функціональна одиниця, елемент, функція"," форми, контури","S00389, S00390, S00405, S00406, S00428, S00429, S00436, S00453, S01133, S00534, S00493, S01844, S01845, S01803"," А00013"," кола"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",," форма 3"," S00059; S00060",,,,,," symb/image-20241221114804603.png"
" S00062"," оболонка"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-01-04",," форми, контури"," S00266, S00421, S00776, S00790, S00789, S00777, S00744, S00742, S00731, S00694, S00780, S00693, S00772, S00791 S00664, S00743, S00778"," А00014, А00015, А00016, А00017"," кола"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",," форма 1"," S00063",,,,,," symb/image-20241221114815128.png"
" S00063"," оболонка"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-01-05",," форми, контури"," S01391, S00752, S00751, S00746, S00745, S00773, S00734, S00764, S00779, S00793, S00792, S00732, S00755, S00773 S00735, S00762, S00774, S00756, S00733, S00747, S00759, S00767, S00753, S00760, S00754, S00794"," А00014, А00015, А00016, А00017"," овали"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",," Форма 2"," S00062",,,,,," symb/image-20241221114824922.png"
" S00064"," кордон"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-01-06",," форми, контури",," А00018, А00019"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221114833933.png"
" S00065"," екран"," стандарт"," 01.07.2001","МЕК 60617-2 (ред. 2.0) 02-01-07"," захист"," форми, контури, екрани, захист"," S00694, S00853, S00852"," А00020"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," наприклад, для зниження проникнення електричних або електромагнітних полів",,,,,,,," symb/image-20241221114849171.png"
" S00066"," захист від ненавмисного прямого контакту, загальний символ"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-01-08",," форми, контури, захист від контакту"," S00168"," А00021"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,,,,,," symb/image-20241221114857990.png"
" S00067"," постійний струм"," застарілий"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-02-03",," струм, напруга, рід струму та напруги",," А00022"," лінії"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,,," S01347;"," 15.09.2001"," S01401",," symb/image-20241221114905599.png"
" S00069","змінний струм (вказівка частоти)"," стандарт"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-02-05",," струм, рід струму та напруги, напруга",," А00023"," символи, фігури"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники",,,," S01403",,,," символ показаний для змінного струму частотою 50 Гц"," symb/image-20241221114925392.png"
" S00070"," змінний струм (вказівка діапазону частоти)"," Застарілий"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-02-06",," струм, рід струму та напруги, напруга",," А00023"," символи, фігури"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," замінено А00258 на Символ S01403",,," S00107",," 15.09.2001"," S01403"," показаний діапазон частот 100 – 600 Гц"," symb/image-20241221114932992.png"
" S00071"," змінний струм (вказівка напруги)"," Застарілий"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-02-07",," струм, рід струму та напруги, напруга",," А00023, А00024, А00025"," символи, фігури"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники","символ показаний для трифазного струму з нейтральним дротом, напругою 400 В (230 В між фазою та нейтральним дротом), частотою 50 Гц (див. також МЕК 61293) замінено А00258 на символ S01403",,," S00107",," 15.09.2001"," S01403",," symb/image-20241221114944662.png"
" S00072"," змінний струм (вказівка системи)"," Застарілий"," 01.07.2001"," МЕК 60617-2 (ред. 2.0) 02-02-08",," струм, рід струму та напруги, напруга",," А00023, А00024, А00026"," символи, фігури"," функціональні елементи чи ознаки"," концептуальні елементи чи визначники"," символ показаний для трифазної системи частотою 50 Гц з однією точкою прямого заземлення та окремою нейтральним проводом та захисними провідниками по всій довжині. Замінено А00258 на символ S01403",,," S00107",," 15.09.2001"," S01403",," symb/image-20241221115001010.png"
